Sample,DateUTC,TimeUTC,LatDec,LongDec,Depth,ButFuc,Chl_c1,Chl_c2,Chl_c3,Chla,Chlb,Fuc,violax,Zea
 08Mar026,28/03/08,23:49,65.763,139.699,5,0.02536,0,0.02626,0.01742,0.35869,0.0098,0.13436,0.00146,0.00391
 08Mar027,28/03/08,21:26,65.801,139.679,79.3,0.02992,0,0.02581,0.02144,0.30053,0.00875,0.0853,0.00248,0.00464
 08Mar028,28/03/08,21:26,65.801,139.679,119.3,0.01646,0,0.01665,0.01498,0.19074,0.00641,0.06133,0,0.00369
 08Mar029,29/03/08,9:35,65.424,139.828,3.5,0.029,0,0.02399,0.01641,0.36194,0.01773,0.11386,0.00377,0.00287
 08Mar030,29/03/08,9:35,65.424,139.828,40.8,0.02613,0.00046,0.0244,0.01725,0.3055,0.01781,0.09222,0.00264,0.00308
 V608031,29/03/08,9:35,65.424,139.828,98.4,0.01898,0,0.01464,0.01503,0.19655,0.0241,0.0447,0.00271,0.00307
 V608032,30/03/08,2:18,64.809,139.852,6,0.02812,0,0.0404,0.0306,0.3698,0.01449,0.13661,0.00127,0.00262
 V608033,30/03/08,2:18,64.809,139.852,41.2,0.02125,0,0.03301,0.02356,0.30399,0.01158,0.11209,0.00269,0.00252
 V608034,30/03/08,2:18,64.809,139.852,101.6,0.03679,0,0.00997,0.01742,0.15941,0.0148,0.049,0.00102,0.00252
 V608035,30/03/08,2:18,64.809,139.852,71.2,0.03383,0,0.02914,0.02849,0.29902,0.02307,0.10692,0.00347,0.003
 V608036,30/03/08,2:18,64.809,139.852,152.2,0.00313,0,0.00095,0.00198,0.01691,0.00112,0.00422,0,0
 V608037,30/03/08,8:40,64.877,140.201,4.7,0.02531,0,0.0327,0.02257,0.32665,0.01344,0.10333,0.00272,0.00081
 V608038,30/03/08,8:40,64.877,140.201,30,0.01822,0,0.02141,0.01421,0.24212,0.00955,0.07135,0.00149,0.00209
 V608039,30/03/08,8:40,64.877,140.201,51.4,0.01851,0,0.02289,0.01598,0.23978,0.00975,0.07202,0.00218,0.00286
 V608040,30/03/08,8:40,64.877,140.201,70.1,0.0195,0,0.02565,0.01748,0.25471,0.01122,0.09127,0.00331,0.00191
 V608041,30/03/08,8:40,64.877,140.201,90.1,0.03092,0,0.025,0.03245,0.3082,0.03241,0.10799,0.00501,0.00343
 V608049,1/04/08,23:16,60.856,139.846,24.7,0.0164,0,0.01505,0.00889,0.14851,0.00325,0.0369,0.00148,0.0008
 V608050,1/04/08,23:16,60.856,139.846,49.5,0.02013,0,0.02081,0.01097,0.18782,0.00323,0.05783,0.0011,0.00095
 V608051,1/04/08,23:16,60.856,139.846,81.6,0.0382,0,0.04786,0.02192,0.37646,0.00471,0.15971,0.00117,0.00202
 V608052,1/04/08,23:16,60.856,139.846,151.6,0.00539,0,0.00334,0.00426,0.04241,0.0013,0.01973,0,0.00118
 V608056,3/04/08,7:26,58.836,139.861,3,0.03156,0,0.02706,0.01781,0.24467,0.0063,0.04557,0.00127,0.00227
 V608057,3/04/08,7:26,58.836,139.861,26.1,0.01744,0,0.01478,0.00958,0.14162,0.00271,0.02652,0.00101,0.00096
 V608058,3/04/08,7:26,58.836,139.861,50.1,0.01774,0,0.01616,0.00985,0.12875,0.003,0.02814,0.00185,0.00134
 V608059,3/04/08,7:26,58.836,139.861,76.1,0.02022,0,0.01777,0.01127,0.15254,0.00354,0.03153,0.00142,0.00129
 V608060,3/04/08,7:26,58.836,139.861,150.1,0.03664,0,0.01394,0.01745,0.12549,0.00418,0.04758,0.00031,0.00496
 V608061,6/04/08,15:23,54.067,141.621,5.1,0.01731,0,0.0143,0.00966,0.14665,0.0035,0.03061,0.00083,0.00101
